Competition ID,Competition,Sport,Opseg vremena,mean,percentile_20,percentile_40,percentile_60,percentile_80,percentile_90,percentile_95,percentile_99.9,start_hour,end_hour
961,Spanija Super Kup,Fudbal,"(1, 2]",1420855.756720463,1097317.8153493633,1352946.002215653,1572631.585724942,1756374.5658772304,1848246.0559533744,1894181.8009914465,1939198.8311287572,1,2
4584,Kval. SP 2022 Evropa,Fudbal,"(0, 1]",1402419.4398536638,468266.1742056741,868424.0986696044,1441456.0067640664,2018787.966547976,2496291.060927826,3017723.3560138084,8512706.210849108,0,1
535,Italija Kup,Fudbal,"(0, 1]",1379662.1825227956,450971.4320745508,1074703.3192310354,1498371.7499371613,1932290.776283451,2347664.486924983,2468639.385088826,4607340.607290925,0,1
966,Turska Super Kup,Fudbal,"(0, 1]",1345096.7116413775,1345096.7116413775,1345096.7116413775,1345096.7116413775,1345096.7116413775,1345096.7116413775,1345096.7116413775,1345096.7116413775,0,1
6,Liga Evrope,Fudbal,"(0, 1]",1283382.3235209635,528531.6009393829,809935.6607233767,1278923.430172592,1793611.6279361413,2482276.5485551828,3759305.644970602,5481140.75447986,0,1
8,Nemacka 1,Fudbal,"(0, 1]",1262489.577025844,356014.2915408126,650943.1810045578,1139200.9956237753,2115984.8047926407,2939566.905634207,3621698.9762757733,6136478.743114719,0,1
5,Liga Sampiona,Fudbal,"(3, 4]",1154627.3315831616,512874.6659446244,867273.7065773224,1260857.3418995505,1754383.0628256197,2016822.6117252877,2128338.7830750244,6594876.54463064,3,4
36,Spanija 1,Fudbal,"(0, 1]",1140489.5229495184,263339.3987225521,582418.157430093,991864.4452438201,1998684.210745393,2640605.521327828,3127380.305739643,5521660.5730497865,0,1
961,Spanija Super Kup,Fudbal,"(2, 3]",1111813.2526611593,814735.4951407083,924878.128073307,1114139.0458788374,1382518.2485572998,1516707.8498965309,1583802.6505661462,1649555.5552223697,2,3
3040,Liga Nacija Play off,Fudbal,"(2, 3]",1090378.7321407518,523337.5758655722,782230.9953842629,1284106.7178518882,1634535.9382068608,1771888.9228561837,1840565.415180845,1907868.3776590135,2,3
1351,Italija Super Kup,Fudbal,"(2, 3]",978993.945601353,978993.945601353,978993.945601353,978993.945601353,978993.945601353,978993.945601353,978993.945601353,978993.945601353,2,3
5,Liga Sampiona,Fudbal,"(4, 8]",959329.7830480293,435684.1071005247,691626.3120513587,1018044.5655818473,1435870.5337110544,1622207.3420735737,1801054.8849846227,6433076.4102599295,4,8
92,Evroliga,Košarka,"(0, 1]",915279.5513198646,468317.946003552,672820.6291730102,963351.2616972754,1325637.662263978,1609790.768591318,1811313.0184038642,3187270.1359649356,0,1
3354,Argentina Trofej Sampiona,Fudbal,"(0, 1]",913516.1439133378,913516.1439133378,913516.1439133378,913516.1439133378,913516.1439133378,913516.1439133378,913516.1439133378,913516.1439133378,0,1
3040,Liga Nacija Play off,Fudbal,"(3, 4]",908837.1929566103,380566.6311363529,598135.9876352539,968223.5779542675,1386844.7907121282,1608288.8027007696,1719010.8086950902,1827518.374569525,3,4
34,Italija 1,Fudbal,"(1, 2]",895837.3829013042,233807.19313980886,577060.6960478558,960038.9461061282,1451904.0311745785,1873760.2263935609,2353351.9731544517,3741627.77794677,1,2
5152,Liga Konferencija,Fudbal,"(0, 1]",889058.8616722759,219951.54886150203,454830.34380018257,830579.3422498569,1268466.2709289235,2116273.191491242,2698170.704528637,5610595.8994318,0,1
2253,Spanija Kup,Košarka,"(0, 1]",885138.1705396185,358224.71409630217,868512.2941066206,1122453.177727341,1315691.134538724,1380580.3880094055,1407177.882523777,1433243.4271478609,0,1
961,Spanija Super Kup,Fudbal,"(3, 4]",871884.148681893,582404.682381734,639390.9539101442,818777.2608430805,1120563.6031805435,1271456.7743492748,1346903.3599336403,1420841.0138063189,3,4
5341,ATP Finals Torino,Tenis,"(0, 1]",848313.4881414806,552787.840047371,647444.9622118634,950055.9681134308,1194272.6121833788,1487772.6085967184,1673396.123216655,1812833.7175790735,0,1
953,Engleska Liga Kup,Fudbal,"(0, 1]",825289.5003521037,139122.44540784895,478833.7960204359,938010.1440537896,1369947.9039203664,1650406.7670136872,1997705.699327318,2575560.586316381,0,1
9,Engleska 1,Fudbal,"(1, 2]",818850.8308679909,133783.63318955855,442011.75592217426,804049.4711672117,1367499.8845893468,1960428.2150235453,2197188.490921831,3266329.3873658436,1,2
1351,Italija Super Kup,Fudbal,"(3, 4]",806942.4847183755,806942.4847183755,806942.4847183755,806942.4847183755,806942.4847183755,806942.4847183755,806942.4847183755,806942.4847183755,3,4
4584,Kval. SP 2022 Evropa,Fudbal,"(1, 2]",774272.6577564251,180612.57167745827,463500.41926375555,782945.9513757825,1096248.6403836845,1356884.2547211493,1699554.523897927,5311044.862045299,1,2
35,Francuska 1,Fudbal,"(0, 1]",755876.1437327149,146276.77045970046,287954.7977871679,585460.2668600203,1381284.6476931274,1883464.6717433669,2370291.7964291386,4217977.107037917,0,1
3040,Liga Nacija Play off,Fudbal,"(4, 8]",740006.0063539834,281462.0536704919,455648.88700968324,701465.9990680226,1133970.5337114232,1396894.6566793881,1528356.7181633704,1657189.5384176737,4,8
34,Italija 1,Fudbal,"(2, 3]",706247.4703603465,174245.22937043605,439217.7129781769,730018.4274688391,1128103.6344917044,1491361.833246435,1888407.2101018666,3322470.589623256,2,3
5427,Africki Kup Nacija 2021,Fudbal,"(0, 1]",703311.6680452292,423157.4709362714,548108.6213875185,671383.7020709717,1127493.823108256,1358693.2091624087,1395595.7699861852,1786927.7344729414,0,1
535,Italija Kup,Fudbal,"(1, 2]",702016.5011064669,149620.67830266932,567000.8248172221,785849.1270860891,954783.9332833512,1216075.654516315,1596597.140452876,2599211.149208177,1,2
961,Spanija Super Kup,Fudbal,"(4, 8]",693746.943559508,456770.1795231803,527213.2912847776,676443.6608827339,904461.2883170494,1018470.1020342071,1075474.5088927858,1131338.8276141933,4,8
161,Portugal 1,Fudbal,"(0, 1]",682742.6519104161,73230.87653343397,167464.6538995735,547545.0497470442,1419400.0954360645,1917468.2031567714,2245860.4026378235,3103943.787403489,0,1
